name,M,N,K,run,dtype,iterations,pair,baseline_ms,h256_ms,overhead_pct
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,50,27.940500,27.635800,-1.0905
klein4_single_in,4608,27648,3072,sweep,bf16,10,0,43.122600,43.198400,0.1758
klein4_single_in,4608,27648,3072,sweep,bf16,10,1,43.114600,42.976900,-0.3194
klein4_single_in,4608,27648,3072,sweep,bf16,10,2,43.167200,42.998000,-0.3920
klein4_single_in,4608,27648,3072,sweep,bf16,10,3,42.887100,42.872000,-0.0352
klein4_single_in,4608,27648,3072,sweep,bf16,10,4,43.151700,43.160200,0.0197
klein4_single_in,4608,27648,3072,sweep,bf16,10,5,43.056100,43.206300,0.3488
klein4_single_in,4608,27648,3072,sweep,bf16,10,6,43.191800,42.961300,-0.5337
klein4_single_in,4608,27648,3072,sweep,bf16,10,7,43.098000,43.178500,0.1868
klein4_single_in,4608,27648,3072,sweep,bf16,10,8,43.129000,43.139200,0.0236
klein4_single_in,4608,27648,3072,sweep,bf16,10,9,43.096900,43.277700,0.4195
klein4_single_in,4608,27648,3072,sweep,bf16,10,10,43.102400,43.231600,0.2998
klein4_single_in,4608,27648,3072,sweep,bf16,10,11,43.161200,43.081800,-0.1840
klein4_single_in,4608,27648,3072,sweep,bf16,10,12,42.990300,43.230100,0.5578
klein4_single_in,4608,27648,3072,sweep,bf16,10,13,43.101200,43.210100,0.2527
klein4_single_in,4608,27648,3072,sweep,bf16,10,14,43.136000,43.124500,-0.0267
klein4_single_in,4608,27648,3072,sweep,bf16,10,15,43.142000,43.039500,-0.2376
klein4_single_in,4608,27648,3072,sweep,bf16,10,16,42.959200,43.233100,0.6376
klein4_single_in,4608,27648,3072,sweep,bf16,10,17,43.135400,43.187600,0.1210
klein4_single_in,4608,27648,3072,sweep,bf16,10,18,43.115700,43.157700,0.0974
klein4_single_in,4608,27648,3072,sweep,bf16,10,19,43.202200,43.190600,-0.0269
klein4_single_in,4608,27648,3072,sweep,bf16,10,20,43.196400,43.273200,0.1778
klein4_single_in,4608,27648,3072,sweep,bf16,10,21,43.064200,43.236900,0.4010
klein4_single_in,4608,27648,3072,sweep,bf16,10,22,43.221100,43.195000,-0.0604
klein4_single_in,4608,27648,3072,sweep,bf16,10,23,43.144500,43.195400,0.1180
klein4_single_in,4608,27648,3072,sweep,bf16,10,24,43.146400,43.141200,-0.0121
klein4_single_in,4608,27648,3072,sweep,bf16,10,25,43.094500,43.164700,0.1629
klein4_single_in,4608,27648,3072,sweep,bf16,10,26,43.155600,43.209500,0.1249
klein4_single_in,4608,27648,3072,sweep,bf16,10,27,43.124600,43.164100,0.0916
klein4_single_in,4608,27648,3072,sweep,bf16,10,28,43.051100,43.185000,0.3110
klein4_single_in,4608,27648,3072,sweep,bf16,10,29,43.129200,43.192300,0.1463
klein4_single_in,4608,27648,3072,sweep,bf16,10,30,42.928500,43.226700,0.6946
klein4_single_in,4608,27648,3072,sweep,bf16,10,31,43.110300,43.119500,0.0213
klein4_single_in,4608,27648,3072,sweep,bf16,10,32,43.200400,43.232800,0.0750
klein4_single_in,4608,27648,3072,sweep,bf16,10,33,43.023600,43.048400,0.0576
klein4_single_in,4608,27648,3072,sweep,bf16,10,34,43.092500,42.836700,-0.5936
klein4_single_in,4608,27648,3072,sweep,bf16,10,35,43.105800,42.814900,-0.6749
klein4_single_in,4608,27648,3072,sweep,bf16,10,36,43.116600,43.248700,0.3064
klein4_single_in,4608,27648,3072,sweep,bf16,10,37,42.874200,43.222300,0.8119
klein4_single_in,4608,27648,3072,sweep,bf16,10,38,43.119600,43.246400,0.2941
klein4_single_in,4608,27648,3072,sweep,bf16,10,39,43.039100,43.233200,0.4510
klein4_single_in,4608,27648,3072,sweep,bf16,10,40,43.111900,43.166800,0.1273
klein4_single_in,4608,27648,3072,sweep,bf16,10,41,43.106000,43.250100,0.3343
klein4_single_in,4608,27648,3072,sweep,bf16,10,42,43.077700,43.265000,0.4348
klein4_single_in,4608,27648,3072,sweep,bf16,10,43,43.091800,43.207700,0.2690
klein4_single_in,4608,27648,3072,sweep,bf16,10,44,43.033500,43.207700,0.4048
klein4_single_in,4608,27648,3072,sweep,bf16,10,45,43.129900,43.235700,0.2453
klein4_single_in,4608,27648,3072,sweep,bf16,10,46,43.100400,43.254600,0.3578
klein4_single_in,4608,27648,3072,sweep,bf16,10,47,42.589700,43.193600,1.4179
klein4_single_in,4608,27648,3072,sweep,bf16,10,48,43.152400,43.232700,0.1861
klein4_single_in,4608,27648,3072,sweep,bf16,10,49,43.149600,43.193800,0.1024
klein4_single_in,4608,27648,3072,sweep,bf16,10,50,43.086200,43.168600,0.1912
klein4_single_out,4608,3072,12288,sweep,bf16,10,0,24.306100,23.831300,-1.9534
klein4_single_out,4608,3072,12288,sweep,bf16,10,1,23.880300,23.625600,-1.0666
klein4_single_out,4608,3072,12288,sweep,bf16,10,2,23.951200,23.532700,-1.7473
klein4_single_out,4608,3072,12288,sweep,bf16,10,3,23.312700,23.135600,-0.7597
klein4_single_out,4608,3072,12288,sweep,bf16,10,4,23.684100,23.056400,-2.6503
klein4_single_out,4608,3072,12288,sweep,bf16,10,5,23.620600,23.131100,-2.0723
klein4_single_out,4608,3072,12288,sweep,bf16,10,6,23.233500,23.897000,2.8558
klein4_single_out,4608,3072,12288,sweep,bf16,10,7,23.735300,23.401200,-1.4076
klein4_single_out,4608,3072,12288,sweep,bf16,10,8,23.804500,23.329100,-1.9971
klein4_single_out,4608,3072,12288,sweep,bf16,10,9,23.719900,23.151500,-2.3963
klein4_single_out,4608,3072,12288,sweep,bf16,10,10,23.779700,23.351600,-1.8003
klein4_single_out,4608,3072,12288,sweep,bf16,10,11,24.248900,23.526500,-2.9791
klein4_single_out,4608,3072,12288,sweep,bf16,10,12,23.341000,22.896000,-1.9065
klein4_single_out,4608,3072,12288,sweep,bf16,10,13,24.094600,23.770700,-1.3443
klein4_single_out,4608,3072,12288,sweep,bf16,10,14,23.955300,23.343800,-2.5527
klein4_single_out,4608,3072,12288,sweep,bf16,10,15,23.750100,23.330500,-1.7667
klein4_single_out,4608,3072,12288,sweep,bf16,10,16,23.442300,23.365700,-0.3268
klein4_single_out,4608,3072,12288,sweep,bf16,10,17,24.034100,23.733700,-1.2499
klein4_single_out,4608,3072,12288,sweep,bf16,10,18,23.222500,23.711700,2.1066
klein4_single_out,4608,3072,12288,sweep,bf16,10,19,24.226400,23.140300,-4.4831
klein4_single_out,4608,3072,12288,sweep,bf16,10,20,23.682700,23.358400,-1.3694
klein4_single_out,4608,3072,12288,sweep,bf16,10,21,23.735000,23.819100,0.3543
klein4_single_out,4608,3072,12288,sweep,bf16,10,22,23.320800,22.892500,-1.8366
klein4_single_out,4608,3072,12288,sweep,bf16,10,23,23.934000,23.369800,-2.3573
klein4_single_out,4608,3072,12288,sweep,bf16,10,24,23.693500,23.130600,-2.3758
klein4_single_out,4608,3072,12288,sweep,bf16,10,25,23.686300,23.529700,-0.6611
klein4_single_out,4608,3072,12288,sweep,bf16,10,26,23.763600,23.840500,0.3236
klein4_single_out,4608,3072,12288,sweep,bf16,10,27,23.733000,23.720600,-0.0522
klein4_single_out,4608,3072,12288,sweep,bf16,10,28,24.289700,23.601900,-2.8317
klein4_single_out,4608,3072,12288,sweep,bf16,10,29,23.573300,23.223100,-1.4856
klein4_single_out,4608,3072,12288,sweep,bf16,10,30,23.360400,23.417700,0.2453
klein4_single_out,4608,3072,12288,sweep,bf16,10,31,23.410100,23.307000,-0.4404
klein4_single_out,4608,3072,12288,sweep,bf16,10,32,23.956100,23.386000,-2.3798
klein4_single_out,4608,3072,12288,sweep,bf16,10,33,23.769100,23.148800,-2.6097
klein4_single_out,4608,3072,12288,sweep,bf16,10,34,24.097300,23.860900,-0.9810
klein4_single_out,4608,3072,12288,sweep,bf16,10,35,23.908400,23.438700,-1.9646
klein4_single_out,4608,3072,12288,sweep,bf16,10,36,23.766800,23.740700,-0.1098
klein4_single_out,4608,3072,12288,sweep,bf16,10,37,23.231100,23.327000,0.4128
klein4_single_out,4608,3072,12288,sweep,bf16,10,38,24.013900,23.110500,-3.7620
klein4_single_out,4608,3072,12288,sweep,bf16,10,39,23.764100,23.761000,-0.0130
klein4_single_out,4608,3072,12288,sweep,bf16,10,40,23.387400,22.937800,-1.9224
klein4_single_out,4608,3072,12288,sweep,bf16,10,41,23.729000,23.283200,-1.8787
klein4_single_out,4608,3072,12288,sweep,bf16,10,42,23.820900,23.132200,-2.8912
klein4_single_out,4608,3072,12288,sweep,bf16,10,43,23.896500,23.314200,-2.4368
klein4_single_out,4608,3072,12288,sweep,bf16,10,44,23.919800,23.283700,-2.6593
klein4_single_out,4608,3072,12288,sweep,bf16,10,45,23.204200,23.361400,0.6775
klein4_single_out,4608,3072,12288,sweep,bf16,10,46,23.183600,23.328300,0.6241
klein4_single_out,4608,3072,12288,sweep,bf16,10,47,23.693800,23.170000,-2.2107
klein4_single_out,4608,3072,12288,sweep,bf16,10,48,23.234100,22.862600,-1.5989
klein4_single_out,4608,3072,12288,sweep,bf16,10,49,23.809400,23.340700,-1.9686
klein4_single_out,4608,3072,12288,sweep,bf16,10,50,23.658900,22.870500,-3.3324
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,0,14.318200,14.922600,4.2212
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,1,15.046900,15.206200,1.0587
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,2,14.783300,15.203800,2.8444
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,3,14.785000,15.045200,1.7599
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,4,15.038100,14.755300,-1.8806
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,5,14.808600,14.887400,0.5321
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,6,14.760200,15.180900,2.8502
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,7,14.799000,15.036500,1.6048
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,8,15.433900,15.085700,-2.2561
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,9,15.145900,15.220500,0.4925
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,10,14.844400,15.128700,1.9152
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,11,14.986500,14.709900,-1.8457
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,12,14.871400,14.963500,0.6193
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,13,14.445400,15.217700,5.3463
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,14,15.005000,14.845100,-1.0656
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,15,15.478600,14.729900,-4.8370
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,16,14.822100,15.190300,2.4841
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,17,15.082600,14.713500,-2.4472
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,18,14.707000,15.430400,4.9187
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,19,15.147000,14.661000,-3.2086
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,20,14.469700,14.876800,2.8135
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,21,14.730600,14.948100,1.4765
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,22,15.430200,14.869800,-3.6318
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,23,15.331600,14.869500,-3.0140
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,24,14.750300,14.775800,0.1729
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,25,15.073100,14.908400,-1.0927
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,26,14.757900,14.906000,1.0035
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,27,15.035800,14.902600,-0.8859
